seed,score,rain_events,rain_count,turn_rain_counts,shock_2050_2055,shock_2065_2075,shock_2080_2100,rain_count_good,rain_counts_increase,no_policy_severe,neglect_or_agri_severe,balanced_avoids_severe,hard_less_than_no_policy,resident_prompt_no_policy,housing_prompt_no_policy,balanced_no_resident_prompt,relocation_no_resident_prompt,rnd_delays_crop,infra_ecosystem_worse
383,165,"[[2036, 167.40134379262437], [2054, 203.3292361120565], [2057, 172.15200774084948], [2061, 187.79610359867638], [2063, 179.11057023612415], [2065, 223.48466257818347], [2066, 182.86447028139642], [2070, 162.38419403247568], [2078, 149.63940170913796], [2092, 215.15989611872277], [2096, 167.19640084264452]]",11,"[1, 7, 3]",False,True,False,True,False,True,True,True,True,True,True,False,True,False,True
397,165,"[[2040, 202.78436834776156], [2043, 172.33438934895875], [2047, 187.61612287955498], [2049, 179.13103610061344], [2051, 222.48735461360076], [2052, 182.79888194317752], [2064, 150.3211933297852], [2078, 214.38767069971004], [2082, 167.47585579084515], [2100, 235.230565477063]]",10,"[4, 3, 3]",False,False,True,True,False,True,True,True,True,True,True,False,True,True,True
398,165,"[[2039, 202.7454492217405], [2042, 172.34741660668084], [2046, 187.60326711390346], [2048, 179.13249794807695], [2050, 222.41611833041628], [2051, 182.79419706187616], [2063, 150.36989273126], [2077, 214.33251174120915], [2081, 167.49581685857376], [2099, 235.14499355179976]]",10,"[5, 2, 3]",False,False,True,True,False,True,True,True,True,True,True,False,True,True,True
440,165,"[[2035, 212.0158354841709], [2039, 168.33418170317566], [2060, 211.72855112068956], [2062, 161.844578198224], [2070, 198.41770640201162], [2075, 187.37550058749224], [2081, 221.93645906537867], [2083, 210.55707640377074]]",8,"[2, 4, 2]",False,False,True,True,False,True,True,True,True,True,True,False,True,True,True
441,165,"[[2034, 211.96067652567], [2038, 168.35414277090428], [2059, 211.67614435857422], [2061, 161.8744671804941], [2069, 198.38777976672515], [2074, 187.36361283614238], [2080, 221.86951374874067], [2082, 210.50845182208707], [2100, 182.5046841585914]]",9,"[2, 4, 3]",False,False,True,True,False,True,True,True,True,True,True,False,True,True,True
564,165,"[[2029, 220.69259379720393], [2031, 201.21440653953525], [2032, 185.48372285085628], [2062, 148.63376711647695], [2068, 259.05024705952326], [2071, 204.5105537897024], [2075, 245.52367041695868], [2078, 166.97898694145402], [2080, 223.6053124054542], [2085, 155.61763928689808], [2092, 181.13395481212822], [2096, 157.63013815070775], [2100, 201.04246071682985]]",13,"[3, 4, 6]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
738,165,"[[2028, 243.12452179955847], [2040, 172.05414770167835], [2067, 233.5372713384308], [2068, 159.75298653804597], [2074, 180.51233173777467], [2075, 228.6590094517505], [2076, 204.15971773418187], [2077, 147.0168505539305], [2083, 193.66812556681577], [2089, 244.5237588405948], [2094, 238.09582224478368]]",11,"[2, 4, 5]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
743,165,"[[2035, 172.12201125229848], [2063, 159.91801808699063], [2069, 180.50819621867362], [2070, 228.2668691499289], [2071, 203.96532920068847], [2072, 147.28180585129394], [2078, 193.55937712516118], [2084, 244.01524013773042], [2089, 237.6415430270519], [2098, 208.955119675766], [2099, 183.86348308159597]]",11,"[1, 5, 5]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
744,165,"[[2034, 172.1355839624225], [2062, 159.95102439677956], [2068, 180.50736911485342], [2069, 228.18844108956458], [2070, 203.92645149398976], [2071, 147.3347969107666], [2077, 193.53762743683026], [2083, 243.91353639715754], [2088, 237.55068718350554], [2097, 208.9101183796447], [2098, 183.85748787397657]]",11,"[1, 5, 5]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
745,165,"[[2033, 172.14915667254652], [2061, 159.9840307065685], [2067, 180.5065420110332], [2068, 228.11001302920025], [2070, 147.38778797023932], [2076, 193.51587774849935], [2082, 243.81183265658464], [2087, 237.45983133995918], [2096, 208.8651170835234], [2097, 183.85149266635716]]",10,"[1, 4, 5]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
