seed,scenario,label,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100
8,05_relocation_capacity,移転・防災偏重,309741200.9,101971325.5,175381614.7,277588021.9
8,06_balanced,バランス型,290917784.1,117509480.6,175219579.3,231106674.9
8,07_late_response,後手対応,327300382.0,180359226.4,230211959.1,251639433.7
8,08_ecosystem_sacrifice,生態系犠牲型,280469842.2,132719016.3,168240592.8,169904553.5
8,09_flood_neglect,洪水軽視型,327300382.0,180359226.4,223359766.3,245267384.5
9,01_no_policy,放置,325189928.2,179401998.6,244204077.0,312941257.8
9,02_hard_infra,堤防偏重,278633414.7,132029613.8,167440942.2,169286173.5
9,03_nature_based,自然共生偏重,314947495.2,167558902.4,221881079.8,271858909.1
9,04_agri_rnd,農業R&D偏重,325189928.2,179401998.6,224092129.0,246588468.7
9,05_relocation_capacity,移転・防災偏重,307871008.5,102964118.8,175446913.2,276428005.4
9,06_balanced,バランス型,289073353.1,117566539.3,174743961.1,232024944.6
9,07_late_response,後手対応,325189928.2,179401998.6,229574362.1,250119304.9
9,08_ecosystem_sacrifice,生態系犠牲型,278633414.7,132029613.8,167440942.2,169286173.5
9,09_flood_neglect,洪水軽視型,325189928.2,179401998.6,224092129.0,246588468.7
10,01_no_policy,放置,323067299.3,0.0,213921630.7,311861335.3
10,02_hard_infra,堤防偏重,276786885.6,0.0,108781306.0,169823131.1
10,03_nature_based,自然共生偏重,313348412.4,0.0,188334735.8,270908977.8
10,04_agri_rnd,農業R&D偏重,323067299.3,0.0,187403764.0,246325114.3
10,05_relocation_capacity,移転・防災偏重,305868760.7,0.0,120619137.7,274919312.9
10,06_balanced,バランス型,287214916.6,0.0,134946488.4,231722629.1
10,07_late_response,後手対応,323067299.3,0.0,160600911.2,248554381.9
10,08_ecosystem_sacrifice,生態系犠牲型,276786885.6,0.0,108781306.0,169823131.1
10,09_flood_neglect,洪水軽視型,323067299.3,0.0,187403764.0,246325114.3
11,01_no_policy,放置,320932501.3,0.0,213032310.8,310772322.7
11,02_hard_infra,堤防偏重,274930263.6,0.0,108347054.3,168035450.4
11,03_nature_based,自然共生偏重,311732053.8,0.0,188210855.5,269954218.3
11,04_agri_rnd,農業R&D偏重,320932501.3,0.0,188024598.2,246067884.9
11,05_relocation_capacity,移転・防災偏重,303889772.3,0.0,120276070.3,273394690.2
11,06_balanced,バランス型,285369231.2,0.0,134709306.2,231422401.6
11,07_late_response,後手対応,320932501.3,0.0,189941420.1,246942277.9
11,08_ecosystem_sacrifice,生態系犠牲型,274930263.6,0.0,108347054.3,168035450.4
11,09_flood_neglect,洪水軽視型,320932501.3,0.0,188024598.2,246067884.9
12,01_no_policy,放置,318785541.6,0.0,314085009.2,309674178.6
12,02_hard_infra,堤防偏重,295924550.2,0.0,207163347.5,173337143.5
12,03_nature_based,自然共生偏重,310098364.9,0.0,278331507.4,268994691.2
12,04_agri_rnd,農業R&D偏重,318785541.6,0.0,267318367.8,245816918.9
12,05_relocation_capacity,移転・防災偏重,302210532.9,0.0,280174390.5,273191755.2
12,06_balanced,バランス型,309516676.0,0.0,254275859.0,231411376.2
