Yield,Flood Damage,Budget,Ecosystem,Urban Convenience,Forest Area,Resident Burden,Policy_ID,RCP,planting_trees_amount_t1,house_migration_amount_t1,dam_levee_construction_cost_t1,paddy_dam_construction_cost_t1,capacity_building_cost_t1,agricultural_RnD_cost_t1,transportation_invest_t1,planting_trees_amount_t2,house_migration_amount_t2,dam_levee_construction_cost_t2,paddy_dam_construction_cost_t2,capacity_building_cost_t2,agricultural_RnD_cost_t2,transportation_invest_t2,planting_trees_amount_t3,house_migration_amount_t3,dam_levee_construction_cost_t3,paddy_dam_construction_cost_t3,capacity_building_cost_t3,agricultural_RnD_cost_t3,transportation_invest_t3,Cluster
298186.5416245974,4199913115.938176,17048250000,0.12122916836930164,99.00515609869632,42.46452500230712,71191.55653229181,32,6.0,1,2,2,1,2,2,0,0,0,0,1,2,1,1,0,2,2,2,2,2,2,4
346157.4418092786,1493406671.3690345,15496500000,24.76879099870371,99.51819225537112,84.92905000461424,33726.5087759553,33,1.9,2,1,2,0,1,0,0,2,0,0,2,1,0,0,0,2,1,0,0,2,2,4
87572.16921038905,16635362939.537338,1396500000,-49.104627623332185,99.02425593124326,84.92905000461424,223006.6549827616,34,8.5,2,2,0,2,0,0,1,2,1,2,1,2,2,2,2,2,0,1,0,1,0,1
246142.3207759009,7074749442.379018,9473250000,-12.57591073941012,99.5488045445956,42.46452500230712,102054.8188716663,35,6.0,1,1,1,2,1,1,1,1,2,2,0,0,0,1,1,0,0,0,1,1,2,2
331830.375782137,3706332796.9842825,2071500000,23.908569567174183,100.0,84.92905000461424,51221.272043751575,36,2.6,2,0,0,2,1,2,0,1,1,2,2,0,2,2,0,2,0,2,2,1,2,0
176674.09958537028,6305316304.469741,15473250000,-59.431539887005385,99.55736380476296,42.46452500230712,97532.4509838488,37,8.5,1,1,2,1,2,0,0,1,1,1,0,1,0,2,0,1,2,2,1,0,1,1
345338.85233333387,2896860081.805389,1575000000,0.0,99.54057563371028,0.0,39939.02691265209,38,1.9,0,1,0,0,0,2,0,0,2,0,0,2,2,2,0,0,1,1,2,2,1,0
337458.60659447004,2024450497.4616907,2146500000,25.37130160984787,98.9835647519564,84.92905000461424,28937.978214382543,39,1.9,2,2,0,0,2,0,2,0,1,0,0,0,0,0,2,2,2,0,2,0,2,0
321801.93994566257,2957139079.274968,16996500000,25.39644049543189,99.4958649947519,84.92905000461424,54794.45507991861,40,2.6,2,1,2,1,0,0,2,2,0,2,1,0,2,1,2,0,1,0,0,1,0,4
119071.7905183558,12015597559.934847,421500000,-59.431539887005385,100.0,84.92905000461424,160538.3861496156,41,8.5,2,0,0,0,1,0,0,1,1,0,0,0,1,1,2,1,0,1,2,2,0,1
224539.5511299388,6950674892.101956,300000000,-0.6443017470453559,99.47157241786968,0.0,92941.66406398611,42,6.0,0,1,0,1,2,0,0,0,1,0,1,1,1,0,1,2,2,2,1,1,1,2
152632.6946652285,13095766347.953676,3646500000,-46.561627742310506,99.02074687653143,84.92905000461424,177715.24364489285,43,8.5,2,2,0,1,1,2,2,0,1,0,1,1,1,0,2,1,0,0,2,1,0,1
353477.18797993416,1934790812.2289019,9496500000,25.008757700670444,100.0,84.92905000461424,34479.3066584671,44,1.9,2,0,1,0,2,2,0,0,1,0,2,1,1,0,1,2,2,0,2,2,2,4
345217.3149111719,2645555712.9148803,9646500000,25.422210615231894,99.50200836304235,84.92905000461424,43944.8062021486,45,2.6,2,1,1,2,1,2,0,0,0,1,2,0,1,0,2,0,1,0,1,0,1,4
212682.26685262678,8793409285.482386,9496500000,25.171301609847873,99.48770062344143,84.92905000461424,125825.48525050658,46,6.0,2,1,1,1,0,0,2,0,1,1,1,1,2,0,1,2,0,1,1,1,2,2
337336.23736745125,1882558824.4121284,15323250000,11.869235746142031,99.52406795499722,42.46452500230712,37817.875035590776,47,1.9,1,1,2,1,0,0,0,0,2,2,0,0,1,1,1,0,1,1,0,0,1,4
245799.32495147525,6090553746.632422,17250000000,-21.4948793479689,100.0,0.0,95913.49836408811,48,6.0,0,0,2,0,0,1,2,0,0,1,1,1,0,1,2,1,2,0,1,1,2,3
274892.69191005256,4632915331.36608,398250000,12.812105307615944,99.47740558775004,42.46452500230712,62134.60894550167,49,4.5,1,1,0,0,2,0,0,0,1,0,1,0,0,0,2,1,2,2,2,2,2,0
280161.77262061805,4148303513.083025,1650000000,-0.31294777716275013,100.0,0.0,56768.68514111977,50,4.5,0,0,0,0,2,0,2,2,1,0,1,2,2,2,0,2,2,2,2,2,2,0
347340.819405011,1898465480.383783,8573250000,12.325912746835495,99.49721060762613,42.46452500230712,33126.30815389127,51,1.9,1,1,1,0,1,1,0,0,1,2,2,2,1,2,1,1,0,2,2,0,1,0
252119.20735283406,7954702346.598641,10096500000,-48.358787939861784,100.0,84.92905000461424,114262.28745296618,52,6.0,2,0,1,0,0,2,1,2,2,1,2,2,0,1,0,0,0,1,2,2,2,1
318948.7526624936,4222287051.8216457,1823250000,12.753585457016944,99.43754837896117,42.46452500230712,58018.73156071134,53,2.6,1,1,0,1,0,1,1,1,2,1,2,2,2,2,0,0,2,1,2,2,2,0
140053.9215843603,11848617017.815048,1073250000,-59.431539887005385,99.53871447466145,42.46452500230712,158928.83562953913,54,8.5,1,1,0,0,1,1,0,0,1,2,0,2,2,0,0,2,0,0,1,1,2,1
264156.59030195937,6755964511.57152,17146500000,13.102034408772534,98.96229422511541,84.92905000461424,105455.82045869077,55,6.0,2,2,2,2,0,2,0,1,0,2,1,1,2,0,2,1,1,1,0,0,2,2
338528.2749907699,2296087243.824873,8648250000,12.746120247715945,99.51349902437289,42.46452500230712,38151.68794564914,56,1.9,1,1,1,2,0,0,1,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0
303044.76405336603,5438638206.479792,10650000000,-9.541896409995658,99.5489245231068,0.0,81565.05414076608,57,4.5,0,1,1,0,1,2,2,2,2,1,2,0,1,1,1,0,1,0,2,0,1,3
277200.8941556698,4704884318.108929,16321500000,8.593612263473396,99.52390792449988,84.92905000461424,76573.3623471451,58,4.5,2,1,2,2,0,0,1,0,2,0,2,1,0,1,2,0,0,2,0,2,1,4
289681.7372640698,3467383642.119597,7650000000,-26.78132124498171,100.0,0.0,52408.784575950674,59,4.5,0,0,1,0,2,0,0,0,1,2,0,1,0,1,2,2,0,1,1,2,0,3
302444.44085317454,3766794013.0291944,17475000000,0.0,100.0,0.0,66957.69732336084,60,4.5,0,0,2,2,1,1,2,0,2,0,0,2,2,0,1,1,2,0,0,0,1,3
282263.99323484936,4937733364.4731655,9473250000,12.746120247715945,99.45515086149842,42.46452500230712,74641.60370876771,61,4.5,1,1,1,2,1,0,2,2,1,1,1,1,0,1,0,2,2,2,2,0,0,0
324894.73160797585,2448280396.387752,8475000000,0.0,100.0,0.0,39812.64910631634,62,2.6,0,0,1,1,2,0,1,0,2,2,2,1,1,2,1,0,2,0,0,0,2,3
311487.2068847085,4113849099.0522623,10875000000,-5.0171242097288555,98.9093835220704,0.0,64513.358034638244,63,4.5,0,2,1,1,2,2,2,2,0,1,2,2,2,1,2,2,2,2,2,1,0,3
333651.30648312386,2730101305.1526165,2048250000,12.12505677023547,99.5077483771856,42.46452500230712,38193.52177917502,64,2.6,1,1,0,2,2,1,1,0,1,0,0,2,1,2,1,2,0,2,1,0,2,0
338550.60160143406,2313742659.9340096,1650000000,0.0,100.0,0.0,32251.070760286537,65,1.9,0,0,0,1,1,0,2,0,1,2,1,1,1,0,1,2,0,0,2,0,0,0
160490.01981435914,8865798059.11147,1950000000,-59.431539887005385,98.97307100817649,0.0,119944.72948717632,66,8.5,0,2,0,2,2,0,2,2,2,1,0,2,0,0,1,2,2,0,1,1,0,1
337644.7194849027,2388842275.1384,8498250000,12.505079744125338,100.0,42.46452500230712,39074.90136938379,67,1.9,1,0,1,0,1,0,1,2,1,2,2,2,1,0,1,1,0,0,2,2,2,0
274407.6261015713,4999016362.674787,8048250000,-6.96730239468223,99.05031949483639,42.46452500230712,73554.59043575454,68,4.5,1,2,1,2,1,0,0,1,0,0,0,1,2,0,2,0,1,1,0,2,0,2
288020.8435480547,4736951099.906522,17648250000,12.362105307615948,99.39205089540111,42.46452500230712,80764.38718674348,69,6.0,1,1,2,0,2,2,1,0,1,1,2,1,1,2,1,1,1,0,1,2,0,4
182945.3173946576,8694175788.747864,16073250000,-43.062137510406146,99.5116953516327,42.46452500230712,129947.21108734101,70,8.5,1,1,2,0,1,1,0,2,0,0,2,1,1,2,1,1,1,1,1,1,1,1
248582.23970054372,5999408478.377601,10546500000,24.661252258144554,98.97552535075019,84.92905000461424,89992.43062940483,71,6.0,2,2,1,2,2,1,2,2,2,1,0,0,1,1,0,0,1,0,1,2,0,2
353613.88047641347,1982545425.0832486,3323250000,12.4262948218443,100.0,42.46452500230712,29422.73965366361,72,1.9,1,0,0,0,2,2,2,2,2,0,1,0,2,2,1,0,2,1,1,2,2,0
327809.04259807896,1812068075.1611264,15300000000,0.0,100.0,0.0,37620.27129531102,73,2.6,0,0,2,2,2,0,0,0,2,1,2,2,0,1,1,2,2,1,0,2,2,3
190583.44588756084,9199762089.888145,17821500000,-15.742908393698825,100.0,84.92905000461424,139123.53319835383,74,8.5,2,0,2,2,1,2,1,1,2,0,0,2,2,1,0,0,0,1,0,2,2,1
126113.33664132317,12864253127.606236,9923250000,-27.4985461372021,100.0,42.46452500230712,180800.4887036679,75,8.5,1,0,1,0,0,1,2,2,2,1,2,0,2,0,0,0,1,1,2,1,1,1
119897.09051908873,12068693373.798988,7575000000,-59.431539887005385,99.56568613004112,0.0,166849.62974374628,76,8.5,0,1,1,0,0,0,0,0,0,2,2,0,1,2,1,1,0,0,1,0,0,1
314552.65341149404,4668290708.654073,2325000000,0.0,99.45579820674058,0.0,64413.93033856649,77,2.6,0,1,0,0,0,1,2,2,2,2,0,0,0,1,2,2,0,1,0,1,1,0
99682.53173901325,14913421662.543045,150000000,-59.431539887005385,100.0,0.0,198967.74222885913,78,8.5,0,0,0,2,0,0,0,2,2,0,0,1,1,1,2,2,0,2,1,2,2,1
160935.5850244225,10734249837.952024,16223250000,-51.08860822570813,99.01795920009829,42.46452500230712,156863.0879031877,79,8.5,1,2,2,2,0,1,0,0,1,2,1,0,0,2,1,2,0,1,1,0,1,1
251366.26840039022,7435482376.594815,998250000,12.861115257715944,99.43829518785391,42.46452500230712,100091.00990932422,80,4.5,1,1,0,0,0,0,1,2,0,0,0,0,1,2,1,0,0,2,2,0,1,2
345105.19767452474,1631609069.8746965,17146500000,-9.123831730801466,100.0,84.92905000461424,35325.07972360087,81,2.6,2,0,2,2,2,1,1,0,0,1,0,0,2,2,0,1,1,0,1,2,1,4
144520.6626480126,11095545137.83885,1223250000,-32.658468723417,99.48946579334248,42.46452500230712,149014.40641174468,82,8.5,1,1,0,2,1,0,1,0,1,2,1,0,0,2,0,2,2,1,0,0,2,1
194298.25202193,9725998504.861444,16823250000,-21.552429818981548,99.4767468188252,42.46452500230712,145013.0331189732,83,8.5,1,1,2,1,0,2,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,1
290389.5044905877,4385333585.898248,17625000000,0.0,99.4480134849525,0.0,75312.41196866239,84,6.0,0,1,2,2,2,2,1,1,0,2,1,0,2,0,1,0,0,2,2,1,1,3
136788.57259118662,9587719219.00476,1148250000,-59.431539887005385,100.0,42.46452500230712,128867.55359477726,85,8.5,1,0,0,1,2,0,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1
154861.1208268594,8361014282.638199,15646500000,-15.851354523723323,99.48861605151546,84.92905000461424,125326.95510287886,86,8.5,2,1,2,2,1,0,0,2,0,0,2,1,1,2,2,2,1,0,0,0,0,1
183923.72222420247,10302964671.462646,10898250000,-48.850981818444225,99.52099951141261,42.46452500230712,146834.68912971782,87,8.5,1,1,1,1,1,2,2,2,1,2,0,2,1,2,2,1,2,2,1,2,1,1
331595.9648408242,1757409991.8290102,16396500000,25.39044049543189,98.87355713500826,84.92905000461424,38969.055572293786,88,2.6,2,2,2,0,2,0,1,1,0,1,0,1,1,1,1,0,1,1,2,0,2,4
331706.8638688089,1559649463.3745341,16125000000,0.0,99.02973205660227,0.0,35052.16640420073,89,2.6,0,2,2,1,2,0,1,1,2,1,1,2,0,1,1,1,1,2,2,2,1,3
165850.159660926,8878266749.877674,7800000000,-16.54608056084364,98.99062847304647,0.0,125588.31510853223,90,8.5,0,2,1,0,2,0,0,0,2,2,0,0,2,0,1,2,2,1,0,0,0,1
346787.3632368463,1081887617.8754122,16050000000,0.0,100.0,0.0,27755.64581711076,91,1.9,0,0,2,2,2,0,1,2,0,2,1,2,0,0,1,2,2,0,0,2,1,3
229354.99590194927,6734525879.082837,450000000,0.0,99.04862237433997,0.0,90194.65485789106,92,6.0,0,2,0,2,2,0,0,1,0,1,2,0,2,1,1,2,2,1,2,2,1,2
146961.64880126115,10108767184.804504,16673250000,-18.017161586135757,100.0,42.46452500230712,150388.6994249093,93,8.5,1,0,2,0,0,0,2,1,1,2,0,1,2,2,1,2,2,0,2,2,0,1
183176.56251750526,10891247187.347534,1171500000,-22.131538849356026,99.49995659080393,84.92905000461424,146248.5565721054,94,6.0,2,1,0,0,0,0,1,0,1,2,2,1,0,2,0,1,2,2,0,2,0,1
357129.0202415214,1591589926.2119222,11071500000,23.44468627645676,99.55424147552576,84.92905000461424,30576.381025688934,95,1.9,2,1,1,0,2,2,2,0,0,2,0,1,2,0,0,1,2,1,0,1,2,4
354211.5500906887,1968694466.2145376,10823250000,12.129633076103016,100.0,42.46452500230712,35982.60077179789,96,1.9,1,0,1,1,1,2,2,1,0,2,0,0,1,2,1,1,0,0,2,2,1,0
275821.7844949546,5583191626.693085,18300000000,0.0,99.48881856130313,0.0,91300.2877860189,97,6.0,0,1,2,2,1,2,2,0,1,2,0,0,0,0,2,0,1,0,0,1,1,3
350911.1483302872,1936541464.704919,17896500000,24.59982549367099,99.50446838984176,84.92905000461424,41355.94769219857,98,2.6,2,1,2,2,1,2,1,0,2,2,1,1,0,1,0,1,1,1,0,2,2,4
169760.1324400356,12336545682.27297,2971500000,25.860440495431888,98.83811844481993,84.92905000461424,167427.6552419604,99,8.5,2,2,0,2,1,2,1,0,1,0,1,1,1,1,1,2,2,0,1,1,2,2
194525.74711278774,8796664849.274654,3623250000,7.916296507562836,98.91844240348962,42.46452500230712,120697.84745421352,100,8.5,1,2,0,2,2,2,2,0,2,1,2,0,0,1,2,0,0,2,2,2,1,2
304857.8579813104,3865615467.77749,10321500000,25.68824049543189,99.4560740063818,84.92905000461424,61154.95422900505,101,4.5,2,1,1,0,2,1,2,1,1,0,1,0,2,2,2,2,2,2,2,0,0,4
336719.7456280659,3635676696.752716,10650000000,0.0,99.5057121164122,0.0,57476.422018503916,102,2.6,0,1,1,1,0,2,2,1,1,0,1,2,1,2,2,0,2,1,1,2,2,3
246528.83348484177,4314235282.186707,15300000000,-4.6307605229897195,100.0,0.0,70819.3393531128,103,6.0,0,0,2,2,2,0,0,1,2,2,2,0,2,2,0,2,0,0,0,1,1,3
345198.8028418672,2088370472.8652325,1996500000,25.920240495431887,100.0,84.92905000461424,29760.83948398581,104,1.9,2,0,0,0,2,1,1,2,0,2,0,0,2,1,2,0,0,0,1,1,1,0
340189.41394585685,2265189535.8954897,8896500000,25.706240495431892,98.99911584430369,84.92905000461424,38241.41538329905,105,1.9,2,2,1,1,1,0,1,1,1,0,0,0,0,2,0,0,2,1,0,1,1,4
216705.86936667067,7952803846.779929,18496500000,-26.904575141305788,100.0,84.92905000461424,122883.61867627337,106,8.5,2,0,2,1,1,2,2,2,1,2,1,1,1,1,0,1,1,0,2,2,1,1
356048.5773266136,1772427601.73575,2550000000,0.0,100.0,0.0,25836.35509379351,107,1.9,0,0,0,2,2,2,1,1,0,1,2,0,1,2,1,2,2,0,2,2,0,0
335358.4723222458,2594373547.6201053,1650000000,0.0,99.46381656482023,0.0,36077.353648182965,108,1.9,0,1,0,0,1,0,2,0,0,1,0,2,2,2,0,2,2,1,0,0,0,0
338471.3104101908,2738000841.5638103,8723250000,12.018017947819144,98.94520609717375,42.46452500230712,44575.4984380404,109,2.6,1,2,1,0,2,1,0,0,2,1,2,0,1,1,0,0,2,1,2,1,2,0
191969.4772295762,9800940712.87428,10321500000,24.226035895638294,99.33228932649352,84.92905000461424,141058.51892048944,110,8.5,2,1,1,1,1,2,1,0,1,0,1,0,1,0,0,0,0,1,0,2,2,2
349438.42794895417,2486393369.071847,2475000000,0.0,98.9520554066835,0.0,35424.9262638858,111,1.9,0,2,0,0,1,2,1,1,2,1,1,1,2,2,2,0,0,1,1,2,2,0
321861.6691363129,4942108510.386861,1748250000,12.072722894674643,99.43458306495906,42.46452500230712,67483.62289052733,112,2.6,1,1,0,0,0,2,0,1,0,1,2,1,1,1,1,1,0,2,2,1,2,0
359614.3848549573,1413040615.1856754,17573250000,12.46022024771595,99.40757741908578,42.46452500230712,36323.37418054313,113,1.9,1,1,2,0,1,2,1,0,1,1,1,1,2,2,2,2,2,1,1,2,2,4
130482.03631681742,11642449362.684341,1073250000,-43.52646927278094,100.0,42.46452500230712,156192.7883255127,114,8.5,1,0,0,1,1,0,1,1,0,1,0,1,2,0,2,1,2,2,1,0,0,1
345481.22662083496,2389373611.030734,9998250000,12.325912746835495,99.502011626884,42.46452500230712,40902.3422013786,115,1.9,1,1,1,0,0,1,2,0,0,1,0,0,1,2,2,2,0,2,1,0,1,0
300566.727186532,6193848873.227184,10973250000,9.89784456205858,99.04849210809607,42.46452500230712,92095.16597312578,116,4.5,1,2,1,2,0,2,2,2,1,1,0,1,2,0,0,0,0,1,1,1,2,2
334755.36325259483,2601834425.500764,7800000000,0.0,98.88841406822468,0.0,42018.35114731204,117,1.9,0,2,1,2,0,0,0,0,1,1,1,0,2,0,2,0,1,0,0,0,1,3
323764.16461876465,3830435101.176235,18225000000,0.0,99.45041644523405,0.0,67585.50491387579,118,4.5,0,1,2,1,1,2,2,1,2,2,1,2,2,1,1,2,0,2,1,1,1,3
346094.7671662142,2735861748.1555896,9150000000,0.0,100.0,0.0,45319.82027184032,119,1.9,0,0,1,2,0,2,0,1,1,0,1,2,0,1,1,2,2,2,0,0,2,3
133364.64857983973,11825134231.385569,8723250000,-40.259141537095346,99.07132674057101,42.46452500230712,165113.97358499028,120,8.5,1,2,1,2,0,0,1,2,0,0,2,1,2,0,1,2,0,1,2,0,1,1
295783.77614176646,2651815437.8636503,15450000000,-49.193729639746806,99.13820613627375,0.0,47799.29520248071,121,4.5,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,2,3
296514.78142933565,4549447077.368981,1200000000,0.0,99.07072794661983,0.0,61711.85741986718,122,4.5,0,2,0,2,2,1,0,1,0,2,1,1,1,1,2,2,0,0,0,2,1,0
348570.8928931396,2497605491.561943,9300000000,0.0,99.00555182700182,0.0,41463.78109001814,123,1.9,0,2,1,2,0,2,0,2,1,2,1,1,0,2,2,2,1,0,2,0,0,3
320926.95875501586,3827426867.0882893,10298250000,12.694519247715945,99.50155906880788,42.46452500230712,60436.979605334825,124,4.5,1,1,1,2,2,2,1,1,0,1,1,0,2,1,0,0,1,2,1,2,2,0
355098.93543737,1807800293.6932776,17746500000,19.565514900106358,99.53612022296673,84.92905000461424,39269.47978651225,125,1.9,2,1,2,1,0,2,1,0,0,0,0,2,1,2,0,2,2,2,0,1,2,4
232887.4686756545,10137828364.244461,1921500000,25.50717091403389,100.0,84.92905000461424,137003.54178324685,126,6.0,2,0,0,1,0,2,0,0,2,1,2,0,1,0,2,0,0,2,0,2,0,2
175524.89325818425,7339231656.144839,8873250000,-41.488501006763464,99.02652268829993,42.46452500230712,105571.85778214356,127,8.5,1,2,1,2,2,0,1,1,1,0,2,2,1,2,2,1,0,2,0,0,1,1
211627.94997087735,7795755033.678989,225000000,0.0,98.95133700180654,0.0,104157.4909351362,128,6.0,0,2,0,0,1,0,0,1,1,2,0,0,2,1,1,2,0,0,0,2,0,2
