user_name	scenario_name	period	raw	score	total_score	timestamp
りんご	シナリオ1	2076-2100	{'収量': np.float64(-98.29325205372575), '洪水被害': np.float64(28207433.364454854), '予算': np.float64(286000000.0), '生態系': np.float64(81.94874187987229), '都市利便性': np.float64(0.0)}	{'収量': 0.0, '洪水被害': 85.9, '予算': 71.4, '生態系': 81.9, '都市利便性': 0.0}	47.84	2025-05-25 08:09:42.560229+00:00
ソウスケ	シナリオ1	2026-2050	{'収量': np.float64(4999.833333333333), '洪水被害': np.float64(0.0), '予算': np.float64(255000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 74.5, '生態系': 100.0, '都市利便性': 0.0}	64.9	2025-05-25 07:04:29.568339+00:00
ソウスケ	シナリオ1	2051-2075	{'収量': np.float64(4152.827845019382), '洪水被害': np.float64(42861326.61648219), '予算': np.float64(512000000.0), '生態系': np.float64(72.58151411597251), '都市利便性': np.float64(0.0)}	{'収量': 41.5, '洪水被害': 78.6, '予算': 48.8, '生態系': 72.6, '都市利便性': 0.0}	48.3	2025-05-25 07:06:48.418558+00:00
ソウスケ	シナリオ1	2076-2100	{'収量': np.float64(891.5450531187169), '洪水被害': np.float64(103122894.27220407), '予算': np.float64(60000000.0), '生態系': np.float64(33.45561612303474), '都市利便性': np.float64(0.0)}	{'収量': 8.9, '洪水被害': 48.4, '予算': 94.0, '生態系': 33.5, '都市利便性': 0.0}	36.96	2025-05-25 07:08:42.387779+00:00
トリーズ	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(381000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 61.9, '生態系': 100.0, '都市利便性': 0.0}	62.38	2025-05-25 07:46:31.963398+00:00
トリーズ	シナリオ1	2051-2075	{'収量': np.float64(3698.056631635093), '洪水被害': np.float64(130194336.83649072), '予算': np.float64(200000000.0), '生態系': np.float64(99.98469999999999), '都市利便性': np.float64(0.0)}	{'収量': 37.0, '洪水被害': 34.9, '予算': 80.0, '生態系': 100.0, '都市利便性': 0.0}	50.38	2025-05-25 07:49:22.757194+00:00
トリーズ	シナリオ1	2076-2100	{'収量': np.float64(4704.057469053831), '洪水被害': np.float64(29577586.427950267), '予算': np.float64(286000000.0), '生態系': np.float64(99.90944999999995), '都市利便性': np.float64(43.885023670778025)}	{'収量': 47.0, '洪水被害': 85.2, '予算': 71.4, '生態系': 99.9, '都市利便性': 43.9}	69.47999999999999	2025-05-25 07:52:02.290059+00:00
パール	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(260000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 74.0, '生態系': 100.0, '都市利便性': 0.0}	64.8	2025-05-25 08:41:56.193384+00:00
パール	シナリオ1	2051-2075	{'収量': np.float64(4999.833333333333), '洪水被害': np.float64(0.0), '予算': np.float64(215000000.0), '生態系': np.float64(99.95069999999997), '都市利便性': np.float64(9.847951409470761)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 78.5, '生態系': 100.0, '都市利便性': 9.8}	67.66	2025-05-25 08:44:17.207358+00:00
パール	シナリオ1	2076-2100	{'収量': np.float64(4993.995572425119), '洪水被害': np.float64(583776.0908214512), '予算': np.float64(215000000.0), '生態系': np.float64(99.81544999999988), '都市利便性': np.float64(100.0)}	{'収量': 49.9, '洪水被害': 99.7, '予算': 78.5, '生態系': 99.8, '都市利便性': 100.0}	85.58	2025-05-25 08:46:04.072062+00:00
プーさん	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(381000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 61.9, '生態系': 100.0, '都市利便性': 0.0}	62.38	2025-05-25 01:34:49.679721+00:00
プーさん	シナリオ1	2051-2075	{'収量': np.float64(4250.733382595571), '洪水被害': np.float64(74926661.74044289), '予算': np.float64(286000000.0), '生態系': np.float64(80.3920354562786), '都市利便性': np.float64(0.0)}	{'収量': 42.5, '洪水被害': 62.5, '予算': 71.4, '生態系': 80.4, '都市利便性': 0.0}	51.36	2025-05-25 01:36:24.233810+00:00
プーさん	シナリオ1	2076-2100	{'収量': np.float64(3769.3040587092737), '洪水被害': np.float64(123052927.46240595), '予算': np.float64(241000000.0), '生態系': np.float64(76.39073857984675), '都市利便性': np.float64(0.0)}	{'収量': 37.7, '洪水被害': 38.5, '予算': 75.9, '生態系': 76.4, '都市利便性': 0.0}	45.7	2025-05-25 01:37:38.917814+00:00
ラスてる	シナリオ1	2026-2050	{'収量': np.float64(4805.880617785917), '洪水被害': np.float64(19411938.221408352), '予算': np.float64(381000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 48.1, '洪水被害': 90.3, '予算': 61.9, '生態系': 100.0, '都市利便性': 0.0}	60.06	2025-05-25 03:02:59.580522+00:00
ラスてる	シナリオ1	2051-2075	{'収量': np.float64(3140.337282356868), '洪水被害': np.float64(17828842.14877078), '予算': np.float64(60000000.0), '生態系': np.float64(83.28605077208184), '都市利便性': np.float64(50.6718524235481)}	{'収量': 31.4, '洪水被害': 91.1, '予算': 94.0, '生態系': 83.3, '都市利便性': 50.7}	70.1	2025-05-25 03:05:11.095172+00:00
ラスてる	シナリオ1	2076-2100	{'収量': np.float64(1216.3503025333446), '洪水被害': np.float64(19600879.646852266), '予算': np.float64(381000000.0), '生態系': np.float64(44.21015277914417), '都市利便性': np.float64(4.255976693736745)}	{'収量': 12.2, '洪水被害': 90.2, '予算': 61.9, '生態系': 44.2, '都市利便性': 4.3}	42.56	2025-05-25 03:07:08.509103+00:00
・・・	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(205000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 79.5, '生態系': 100.0, '都市利便性': 0.0}	65.9	2025-05-25 02:14:05.138349+00:00
・・・	シナリオ1	2051-2075	{'収量': np.float64(4419.01850143991), '洪水被害': np.float64(58098149.856009014), '予算': np.float64(286000000.0), '生態系': np.float64(99.95069999999997), '都市利便性': np.float64(0.0)}	{'収量': 44.2, '洪水被害': 71.0, '予算': 71.4, '生態系': 100.0, '都市利便性': 0.0}	57.32000000000001	2025-05-25 02:15:54.106616+00:00
・・・	シナリオ1	2076-2100	{'収量': np.float64(4743.951438919922), '洪水被害': np.float64(25588189.44134112), '予算': np.float64(60000000.0), '生態系': np.float64(99.8494499999998), '都市利便性': np.float64(0.0)}	{'収量': 47.4, '洪水被害': 87.2, '予算': 94.0, '生態系': 99.8, '都市利便性': 0.0}	65.67999999999999	2025-05-25 02:18:21.404965+00:00
和吉	シナリオ1	2026-2050	{'収量': np.float64(4837.679294715811), '洪水被害': np.float64(16232070.528418904), '予算': np.float64(512000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 48.4, '洪水被害': 91.9, '予算': 48.8, '生態系': 100.0, '都市利便性': 0.0}	57.82000000000001	2025-05-25 08:19:45.916635+00:00
和吉	シナリオ1	2051-2075	{'収量': np.float64(4493.921689041863), '洪水被害': np.float64(50607831.09581372), '予算': np.float64(250000000.0), '生態系': np.float64(99.99869999999996), '都市利便性': np.float64(0.0)}	{'収量': 44.9, '洪水被害': 74.7, '予算': 75.0, '生態系': 100.0, '都市利便性': 0.0}	58.92	2025-05-25 08:26:12.033239+00:00
和吉	シナリオ1	2076-2100	{'収量': np.float64(3988.620515971398), '洪水被害': np.float64(66985713.67400979), '予算': np.float64(15000000.0), '生態系': np.float64(99.94944999999993), '都市利便性': np.float64(1.4442064300370134)}	{'収量': 39.9, '洪水被害': 66.5, '予算': 98.5, '生態系': 99.9, '都市利便性': 1.4}	61.24	2025-05-25 08:29:02.056512+00:00
咲乃	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(517000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 48.3, '生態系': 100.0, '都市利便性': 0.0}	59.66	2025-05-25 06:32:45.084749+00:00
咲乃	シナリオ1	2051-2075	{'収量': np.float64(4639.787030244707), '洪水被害': np.float64(36021296.97552924), '予算': np.float64(200000000.0), '生態系': np.float64(99.99869999999996), '都市利便性': np.float64(0.0)}	{'収量': 46.4, '洪水被害': 82.0, '予算': 80.0, '生態系': 100.0, '都市利便性': 0.0}	61.67999999999999	2025-05-25 06:34:32.004027+00:00
咲乃	シナリオ1	2076-2100	{'収量': np.float64(4398.203958111916), '洪水被害': np.float64(60162937.522141725), '予算': np.float64(110000000.0), '生態系': np.float64(99.95344999999993), '都市利便性': np.float64(0.0)}	{'収量': 44.0, '洪水被害': 69.9, '予算': 89.0, '生態系': 100.0, '都市利便性': 0.0}	60.58	2025-05-25 06:36:20.045087+00:00
大山	シナリオ1	2026-2050	{'収量': 5000.0, '洪水被害': 0.0, '予算': 567000000.0, '生態系': 99.99995, '都市利便性': 4.987490003603406}	{'収量': 50.0, '洪水被害': 100.0, '予算': 43.3, '生態系': 100.0, '都市利便性': 5.0}	59.66	2025-05-28 02:03:28.089249+00:00
大山	シナリオ1	2051-2075	{'収量': 3251.7486737575928, '洪水被害': 73946554.66456702, '予算': 667000000.0, '生態系': 77.96419745406328, '都市利便性': 0.0}	{'収量': 32.5, '洪水被害': 63.0, '予算': 33.3, '生態系': 78.0, '都市利便性': 0.0}	41.36	2025-05-28 02:03:36.561520+00:00
大山	シナリオ1	2076-2100	{'収量': 4366.629340540896, '洪水被害': 63320399.27924365, '予算': 677000000.0, '生態系': 55.939757431225814, '都市利便性': 26.78444288038611}	{'収量': 43.7, '洪水被害': 68.3, '予算': 32.3, '生態系': 55.9, '都市利便性': 26.8}	45.400000000000006	2025-05-28 02:03:42.714218+00:00
扇台小学校	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(381000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 61.9, '生態系': 100.0, '都市利便性': 0.0}	62.38	2025-05-25 03:33:05.530058+00:00
扇台小学校	シナリオ1	2051-2075	{'収量': np.float64(4771.835691159794), '洪水被害': np.float64(22799764.21735395), '予算': np.float64(60000000.0), '生態系': np.float64(99.98669999999998), '都市利便性': np.float64(0.0)}	{'収量': 47.7, '洪水被害': 88.6, '予算': 94.0, '生態系': 100.0, '都市利便性': 0.0}	66.06	2025-05-25 03:35:05.281331+00:00
扇台小学校	シナリオ1	2076-2100	{'収量': np.float64(2202.0794993056193), '洪水被害': np.float64(68484898.28010403), '予算': np.float64(155000000.0), '生態系': np.float64(82.79803771893003), '都市利便性': np.float64(0.0)}	{'収量': 22.0, '洪水被害': 65.8, '予算': 84.5, '生態系': 82.8, '都市利便性': 0.0}	51.02	2025-05-25 03:37:11.418119+00:00
物理卓	シナリオ1	2026-2050	{'収量': np.float64(4999.833333333333), '洪水被害': np.float64(0.0), '予算': np.float64(336000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(9.99)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 66.4, '生態系': 100.0, '都市利便性': 10.0}	65.28	2025-05-25 04:58:08.550154+00:00
物理卓	シナリオ1	2051-2075	{'収量': np.float64(4607.313393693388), '洪水被害': np.float64(39268660.63066116), '予算': np.float64(336000000.0), '生態系': np.float64(97.3986721637374), '都市利便性': np.float64(97.88002449508345)}	{'収量': 46.1, '洪水被害': 80.4, '予算': 66.4, '生態系': 97.4, '都市利便性': 97.9}	77.64000000000001	2025-05-25 05:01:12.173867+00:00
物理卓	シナリオ1	2076-2100	{'収量': np.float64(4764.9545334828545), '洪水被害': np.float64(19410936.699623734), '予算': np.float64(60000000.0), '生態系': np.float64(61.808101026798816), '都市利便性': np.float64(23.488156436251714)}	{'収量': 47.6, '洪水被害': 90.3, '予算': 94.0, '生態系': 61.8, '都市利便性': 23.5}	63.44	2025-05-25 05:05:27.171122+00:00
白石	シナリオ1	2026-2050	{'収量': np.float64(4999.833333333333), '洪水被害': np.float64(0.0), '予算': np.float64(15000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 98.5, '生態系': 100.0, '都市利便性': 0.0}	69.7	2025-05-25 08:54:18.004896+00:00
白石	シナリオ1	2051-2075	{'収量': np.float64(4793.985171693275), '洪水被害': np.float64(20601482.83067251), '予算': np.float64(105000000.0), '生態系': np.float64(99.99869999999996), '都市利便性': np.float64(0.0)}	{'収量': 47.9, '洪水被害': 89.7, '予算': 89.5, '生態系': 100.0, '都市利便性': 0.0}	65.42	2025-05-25 08:55:38.064749+00:00
白石	シナリオ1	2076-2100	{'収量': np.float64(4095.8972876395646), '洪水被害': np.float64(90410271.23604351), '予算': np.float64(286000000.0), '生態系': np.float64(99.99744999999992), '都市利便性': np.float64(0.0)}	{'収量': 41.0, '洪水被害': 54.8, '予算': 71.4, '生態系': 100.0, '都市利便性': 0.0}	53.44	2025-05-25 08:56:26.194701+00:00
開智望	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(517000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(0.0)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 48.3, '生態系': 100.0, '都市利便性': 0.0}	59.66	2025-05-25 06:20:19.467357+00:00
開智望	シナリオ1	2051-2075	{'収量': np.float64(4851.138721782321), '洪水被害': np.float64(14886127.821767874), '予算': np.float64(667000000.0), '生態系': np.float64(99.99869999999996), '都市利便性': np.float64(0.0)}	{'収量': 48.5, '洪水被害': 92.6, '予算': 33.3, '生態系': 100.0, '都市利便性': 0.0}	54.88	2025-05-25 06:23:04.306077+00:00
開智望	シナリオ1	2076-2100	{'収量': np.float64(4897.145785184279), '洪水被害': np.float64(10285421.481572099), '予算': np.float64(310000000.0), '生態系': np.float64(99.11700402186855), '都市利便性': np.float64(0.0)}	{'収量': 49.0, '洪水被害': 94.9, '予算': 69.0, '生態系': 99.1, '都市利便性': 0.0}	62.4	2025-05-25 06:26:37.722489+00:00
餃子	シナリオ1	2026-2050	{'収量': np.float64(5000.0), '洪水被害': np.float64(0.0), '予算': np.float64(381000000.0), '生態系': np.float64(99.99995), '都市利便性': np.float64(4.99)}	{'収量': 50.0, '洪水被害': 100.0, '予算': 61.9, '生態系': 100.0, '都市利便性': 5.0}	63.38	2025-05-25 04:43:54.973789+00:00
餃子	シナリオ1	2051-2075	{'収量': np.float64(4838.306929949453), '洪水被害': np.float64(16152640.338388048), '予算': np.float64(241000000.0), '生態系': np.float64(86.87865425709015), '都市利便性': np.float64(52.31407340195407)}	{'収量': 48.4, '洪水被害': 91.9, '予算': 75.9, '生態系': 86.9, '都市利便性': 52.3}	71.08000000000001	2025-05-25 04:46:20.661402+00:00
餃子	シナリオ1	2076-2100	{'収量': np.float64(4409.003275022062), '洪水被害': np.float64(21321311.44044657), '予算': np.float64(110000000.0), '生態系': np.float64(65.75366355718545), '都市利便性': np.float64(0.0)}	{'収量': 44.1, '洪水被害': 89.3, '予算': 89.0, '生態系': 65.8, '都市利便性': 0.0}	57.64	2025-05-25 04:48:35.849336+00:00
